Year,Month,Day,Registered,Casual
2013,8,27,8084,1538
2013,8,28,6742,993
2013,8,29,7789,1646
2013,8,30,7442,2306
2013,8,31,5114,4365
2013,9,1,4603,4697
2013,9,2,4921,3201
2013,9,3,7570,1374
2013,9,4,8294,1532
2013,9,5,8432,1575
2013,9,6,8444,1814
2013,9,7,7025,3211
2013,9,8,6481,3035
2013,9,9,7759,1382
2013,9,10,8134,1436
2013,9,11,7996,1271
2013,9,12,6133,946
2013,9,13,8466,1590
2013,9,14,7323,3946
2013,9,15,6651,3204
2013,9,16,7274,1085
2013,9,17,8699,1269
2013,9,18,8761,1298
2013,9,19,8824,1637
2013,9,20,8767,1909
2013,9,21,4769,2150
2013,9,22,6692,2750
2013,9,23,7795,1272
2013,9,24,8462,1144
2013,9,25,8446,1169
2013,9,26,8600,1293
2013,9,27,8354,1635
2013,9,28,6686,3504
2013,9,29,6283,3082
2013,9,30,7794,1338
2013,10,1,9019,1339
2013,10,2,9096,1289
2013,10,3,8909,1248
2013,10,4,8596,1667
2013,10,5,7185,3401
2013,10,6,6784,2992
2013,10,7,5459,421
2013,10,8,8666,1278
2013,10,9,5681,757
2013,10,10,2352,180
2013,10,11,1683,117
2013,10,12,3961,1300
2013,10,13,4504,1523
2013,10,14,7110,1830
2013,10,15,8350,1031
2013,10,16,8615,1114
2013,10,17,8499,1049
2013,10,18,8502,1871
2013,10,19,6223,3192
